year,value,product_general,unit,flow,dataset,product_detailed,dataset_product
2022,8.980620384216309,cashew,1000 t,exports,FAOSTAT,"Cashew nuts, in shell","FAOSTAT - Cashew nuts, in shell"
2022,10.80599975585938,cashew,1 million USD,exports,FAOSTAT,"Cashew nuts, in shell","FAOSTAT - Cashew nuts, in shell"
2014,.0000399999989895,cashew,1000 t,imports,FAOSTAT,"Cashew nuts, shelled","FAOSTAT - Cashew nuts, shelled"
2014,.0040000001899898,cashew,1 million USD,imports,FAOSTAT,"Cashew nuts, shelled","FAOSTAT - Cashew nuts, shelled"
2014,.1646399945020676,cashew,1000 t,exports,FAOSTAT,"Cashew nuts, shelled","FAOSTAT - Cashew nuts, shelled"
2014,.4950000047683716,cashew,1 million USD,exports,FAOSTAT,"Cashew nuts, shelled","FAOSTAT - Cashew nuts, shelled"
2015,.0000199999994948,cashew,1000 t,imports,FAOSTAT,"Cashew nuts, shelled","FAOSTAT - Cashew nuts, shelled"
2015,.0010000000474975,cashew,1 million USD,imports,FAOSTAT,"Cashew nuts, shelled","FAOSTAT - Cashew nuts, shelled"
2015,.0001300000003539,cashew,1000 t,exports,FAOSTAT,"Cashew nuts, shelled","FAOSTAT - Cashew nuts, shelled"
2015,.0040000001899898,cashew,1 million USD,exports,FAOSTAT,"Cashew nuts, shelled","FAOSTAT - Cashew nuts, shelled"
2016,.010899999178946,cashew,1000 t,imports,FAOSTAT,"Cashew nuts, shelled","FAOSTAT - Cashew nuts, shelled"
2016,.0209999997168779,cashew,1 million USD,imports,FAOSTAT,"Cashew nuts, shelled","FAOSTAT - Cashew nuts, shelled"
2016,.0040899999439716,cashew,1000 t,exports,FAOSTAT,"Cashew nuts, shelled","FAOSTAT - Cashew nuts, shelled"
2016,.028999999165535,cashew,1 million USD,exports,FAOSTAT,"Cashew nuts, shelled","FAOSTAT - Cashew nuts, shelled"
2017,.0039099999703467,cashew,1000 t,exports,FAOSTAT,"Cashew nuts, shelled","FAOSTAT - Cashew nuts, shelled"
2017,.0329999998211861,cashew,1 million USD,exports,FAOSTAT,"Cashew nuts, shelled","FAOSTAT - Cashew nuts, shelled"
2018,0,cashew,1000 t,imports,FAOSTAT,"Cashew nuts, shelled","FAOSTAT - Cashew nuts, shelled"
